Unnamed: 0,Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
,2694.0,Paquímetro,"Paquímetro Univ. Analógico 150mm 0,02mm",110.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,23682.0,2022-06-24,2025-12-10,063-2025
,2695.0,Paquímetro,"Paquímetro Univ. Analógico 150mm 0,02mm",110.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,23682.0,2022-06-24,2025-12-10,063-2025
,2696.0,Paquímetro,"Paquímetro Univ. Analógico 150mm 0,02mm",110.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,23682.0,2022-06-24,2025-12-10,063-2025
,2697.0,Paquímetro,"Paquímetro Univ. Analógico 150mm 0,02mm",110.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,23682.0,2022-06-24,2025-12-10,063-2025
,2698.0,Paquímetro,"Paquímetro Univ. Analógico 150mm 0,02mm",110.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,23682.0,2022-06-24,2025-12-10,063-2025
,2699.0,Paquímetro,"Paquímetro Univ. Analógico 150mm 0,02mm",110.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,23682.0,2022-06-24,2025-12-10,063-2025
,2700.0,Paquímetro,"Paquímetro Univ. Analógico 150mm 0,02mm",110.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,23682.0,2022-06-24,2025-12-10,063-2025
,2701.0,Paquímetro,"Paquímetro Univ. Analógico 150mm 0,02mm",110.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,23682.0,2022-06-24,2025-12-10,063-2025
,2702.0,Scanner,"Scanner 3D Portátil
Permite a digitalização de objetos grandes com alta precisão de 0,1 mm.",7850.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,2.0,2022-06-24,2025-12-10,063-2025
,2703.0,Termômetro ,"Termômetro, tipo: digital, faixa medição temperatura: -50°c a +105 °c, material: plástico, características adicionais: com 5 sensores, resolução: 0,1 °c.",400.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,1.0,2022-06-29,2025-12-10,063-2025
,2704.0,Projetor,"Projetor Smart Screen, 2200 Lumens, Wifi, HDMI, USB, Som Integrado, Bivolt, Preto e Branco",1329.9,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,1005.0,2022-06-21,2025-12-10,063-2025
,2705.0,Projetor,"Projetor Smart Screen, 2200 Lumens, Wifi, HDMI, USB, Som Integrado, Bivolt, Preto e Branco",1329.9,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,1005.0,2022-06-21,2025-12-10,063-2025
,2706.0,Balança Eletrônica ,Balança Eletrônica para Refrigeração. Eletrônica. Capacidade: 110kg. Plataforma: 22 x 22 cm. Tipo de tela da balança digital: LCD. Com teclado: Sim. Com função tara: Sim. Duração da bateria: 40 horas ou Superior.,1850.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,1.0,2022-06-29,2025-12-10,063-2025
